"ZipCode","Borough","Total_Population","Total_Housing_Units","total_dogs","Dogs_Per_Person","Dogs_Per_Housing_Unit"
11357,"Queens",39491,15966,3962,0.100326656706591,0.248152323687837
11358,"Queens",38647,14551,3217,0.0832406137604471,0.221084461549034
11360,"Queens",19350,9249,1847,0.0954521963824289,0.199697264569143
11361,"Queens",29206,11439,2946,0.100869684311443,0.257539994754786
11362,"Queens",17502,7230,1323,0.0755913609873157,0.18298755186722
11363,"Queens",6917,2743,705,0.101922798901258,0.257017863652935
11364,"Queens",34539,13972,3154,0.0913170618720866,0.22573718866304
11365,"Queens",41566,16225,3550,0.0854063417215994,0.218798151001541
11366,"Queens",13366,4706,1008,0.0754152326799342,0.214194645133872
11367,"Queens",38216,15111,2193,0.0573843416370107,0.145126067103435
11368,"Queens",98841,28554,3535,0.0357645106787669,0.123800518316173
11369,"Queens",36110,11543,1996,0.0552755469399058,0.172918651996881
11370,"Bronx",12780,0,1955,0.152973395931142,Inf
11370,"Queens",30362,10325,1955,0.0643896976483763,0.189346246973366
11372,"Queens",71308,25398,4928,0.0691086554103326,0.194031026065044
11373,"Queens",105723,34219,4287,0.0405493601203144,0.125281276483825
11374,"Queens",44189,20298,3345,0.0756975717938854,0.164794561040497
11375,"Queens",70204,34472,7025,0.100065523332004,0.203788582037596
11377,"Queens",88339,32798,5939,0.0672296494187165,0.181078114519178
11378,"Queens",34053,13769,3902,0.114586086394738,0.283390224417169
11379,"Queens",28984,12163,4887,0.168610267733922,0.401792320973444
11385,"Queens",97524,36471,8409,0.0862249292481851,0.230566751665707
11411,"Queens",21282,6851,701,0.0329386335870689,0.102320829076047
11412,"Queens",37452,12442,1224,0.0326818327459148,0.0983764668059798
11413,"Queens",39827,13058,1241,0.0311597659878977,0.095037524888957
11414,"Queens",28121,11739,2940,0.10454820241101,0.250447227191413
11415,"Queens",20956,8985,1746,0.0833174269898836,0.19432387312187
11416,"Queens",23668,7746,1162,0.0490958255872909,0.150012909888975
11417,"Queens",28607,9806,2160,0.07550599503618,0.220273302059963
11418,"Queens",36571,11843,2154,0.058899127724153,0.181879591319767
11419,"Queens",48867,14005,1422,0.0290993922278838,0.101535166012139
11420,"Queens",45498,14089,1766,0.038814892962328,0.125346014621336
11421,"Queens",37664,12758,2484,0.0659515717926933,0.194701363850133
11422,"Queens",30449,9849,1007,0.0330716936516799,0.102243882627678
11423,"Queens",31240,10338,924,0.0295774647887324,0.0893789901334881
11426,"Queens",18727,6531,1402,0.0748651679393389,0.214668504057572
11427,"Queens",23014,7949,1102,0.0478838967584948,0.138633790413889
11428,"Queens",21023,6209,805,0.0382913951386577,0.129650507328072
11429,"Queens",27647,8168,712,0.0257532462835027,0.0871694417238002
11430,"Queens",229,13,4,0.0174672489082969,0.307692307692308
11432,"Queens",57045,19174,1834,0.0321500569725655,0.0956503598623135
11433,"Queens",28435,10025,1045,0.0367504835589942,0.104239401496259
11434,"Queens",59142,20918,2091,0.0353555848635487,0.0999617554259489
11435,"Queens",53877,18726,2384,0.0442489373944355,0.127309622984086
11436,"Queens",18148,5946,695,0.0382962309896407,0.116885301042718
11691,"Queens",56184,19424,1518,0.02701836821871,0.0781507413509061
11692,"Queens",15893,5656,1194,0.0751274145850374,0.211103253182461
11693,"Queens",11157,4607,1409,0.126288428789101,0.305838940742349
11694,"Queens",19278,9038,1977,0.102552131963897,0.218743084753264
11697,"Queens",4226,2915,310,0.0733554188357785,0.106346483704974
